14/10/14 11:13 PM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	     9006	  101204	                   522715	                          612638	
Pendientes:       	     4377	   43915	                   242607	                          279883	
Únicos:           	     5682	   72317	                   378311	                          442690	
Pendientes únicos:	     3084	   32391	                   183147	                          210440	


Estadísticas por archivo individual:

Nombre de archivo                                                                 	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
working-with-content/managing-content/versioning.rst                              	             48	                  31	              31	                         31	              429	                373	            373	                       373	                              2501	                                2157	                            2157	                                       2157	                                     2870	                                       2483	                                   2483	                                              2483	
working-with-content/managing-content/working-copy.rst                            	            226	                 200	             126	                        123	             1196	               1101	            886	                       862	                              8736	                                8253	                            6216	                                       6109	                                     9789	                                       9228	                                   6980	                                              6852	
working-with-content/portlet-management/index.rst                                 	              8	                   4	               4	                          4	               17	                  5	              5	                         5	                               154	                                  86	                              86	                                         86	                                      164	                                         87	                                     87	                                                87	
working-with-content/portlet-management/managing-portlets.rst                     	             32	                  24	              28	                         24	              383	                320	            349	                       320	                              2040	                                1739	                            1891	                                       1739	                                     2367	                                       2010	                                   2187	                                              2010	
working-with-content/portlet-management/portlet-hierarchy.rst                     	             30	                  23	              23	                         23	              394	                378	            378	                       378	                              2020	                                1909	                            1909	                                       1909	                                     2358	                                       2236	                                   2236	                                              2236	
working-with-content/portlet-management/portlet-types.rst                         	             51	                  46	              46	                         46	              645	                603	            603	                       603	                              3303	                                3085	                            3085	                                       3085	                                     3853	                                       3598	                                   3598	                                              3598	
working-with-content/using-collections/index.rst                                  	             22	                   9	              15	                          9	              124	                 20	            110	                        20	                               893	                                 341	                             800	                                        341	                                      990	                                        345	                                    888	                                               345	
working-with-content/using-collections/newstyle/creating_collections.rst          	             21	                   8	              15	                          8	              159	                 42	            153	                        42	                               944	                                 301	                             899	                                        301	                                     1080	                                        330	                                   1032	                                               330	
working-with-content/using-collections/newstyle/introduction-to-collections.rst   	             15	                   4	               9	                          4	              263	                 52	            171	                        52	                              1356	                                 332	                             900	                                        332	                                     1613	                                        389	                                   1071	                                               389	
working-with-content/using-collections/oldstyle/adding-collections.rst            	             42	                  27	              31	                         26	              438	                395	            394	                       377	                              2435	                                2176	                            2191	                                       2071	                                     2790	                                       2505	                                   2510	                                              2384	
working-with-content/using-collections/oldstyle/adjusting-the-display-settings.rst	             26	                  22	              25	                         22	              472	                451	            460	                       451	                              2243	                                2124	                            2184	                                       2124	                                     2658	                                       2522	                                   2588	                                              2522	
working-with-content/using-collections/oldstyle/definition-of-criteria.rst        	             58	                  52	              53	                         52	             1003	                946	            956	                       946	                              5019	                                4718	                            4778	                                       4718	                                     5898	                                       5546	                                   5615	                                              5546	
working-with-content/using-collections/oldstyle/introduction-to-collections.rst   	             16	                   3	               1	                          1	              263	                 28	              4	                         4	                              1356	                                 218	                              77	                                         77	                                     1613	                                        253	                                     80	                                                80	
working-with-content/using-collections/oldstyle/setting-the-sort-order.rst        	             42	                  34	              41	                         34	              564	                543	            553	                       543	                              2766	                                2627	                            2706	                                       2627	                                     3253	                                       3101	                                   3183	                                              3101	
working-with-content/using-collections/oldstyle/using-and-understanding-dates.rst 	             70	                  56	              65	                         56	             1067	                948	           1016	                       948	                              5216	                                4635	                            4988	                                       4635	                                     6134	                                       5448	                                   5860	                                              5448	
working-with-content/using-kupu-as-visual-editor/index.rst                        	            132	                  82	              88	                         81	             1464	               1210	           1236	                      1210	                              8612	                                7311	                            7463	                                       7300	                                    10205	                                       8696	                                   8867	                                              8685	
working-with-content/using-tinymce-as-visual-editor/basics.rst                    	             15	                   6	               6	                          6	               71	                 42	             42	                        42	                               399	                                 238	                             238	                                        238	                                      453	                                        270	                                    270	                                               270	
working-with-content/using-tinymce-as-visual-editor/index.rst                     	             10	                   6	               7	                          6	               19	                 10	             16	                        10	                               176	                                 125	                             154	                                        125	                                      186	                                        129	                                    163	                                               129	
working-with-content/using-tinymce-as-visual-editor/inserting-images.rst          	             66	                  38	              39	                         38	              485	                409	            419	                       409	                              2731	                                2335	                            2386	                                       2335	                                     3132	                                       2680	                                   2740	                                              2680	
working-with-content/using-tinymce-as-visual-editor/inserting-links.rst           	             51	                  28	              18	                         17	              471	                405	            220	                       209	                              2604	                                2261	                            1231	                                       1185	                                     2992	                                       2600	                                   1410	                                              1354	
working-with-content/using-tinymce-as-visual-editor/inserting-tables.rst          	             54	                  16	              16	                         15	              237	                155	            135	                       128	                              1423	                                 935	                             835	                                        797	                                     1597	                                       1057	                                    938	                                               895	
working-with-content/using-tinymce-as-visual-editor/introduction.rst              	              9	                   7	               7	                          7	              127	                115	            115	                       115	                               697	                                 626	                             626	                                        626	                                      806	                                        725	                                    725	                                               725	
working-with-content.po                                                           	           2531	                 895	             732	                        184	            35318	              10943	          11762	                      1765	                            171126	                               52340	                           59221	                                       9149	                                   203715	                                      62303	                                  70127	                                             10697	
