04/10/14 09:01 AM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	    13452	  106446	                   656891	                          742952	
Pendientes:       	     6055	   39748	                   293910	                          322718	
Únicos:           	     7872	   81836	                   480334	                          551705	
Pendientes únicos:	     3519	   28289	                   199330	                          222754	


Estadísticas por archivo individual:

Nombre de archivo                                                                                          	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
plone_3_theming/elements/hiddenelements/plone.skip_links.rst                                               	             55	                  37	              17	                         16	              275	                225	             80	                        78	                              2131	                                1729	                             729	                                        668	                                     2291	                                       1860	                                    773	                                               711	
plone_3_theming/elements/index.rst                                                                         	              5	                   0	               3	                          0	               50	                  0	             48	                         0	                               276	                                   0	                             257	                                          0	                                      322	                                          0	                                    302	                                                 0	
plone_3_theming/elements/portlet/anatomy.rst                                                               	             13	                  12	              13	                         12	               97	                 93	             97	                        93	                               559	                                 521	                             559	                                        521	                                      637	                                        596	                                    637	                                               596	
plone_3_theming/elements/portlet/move.rst                                                                  	             69	                  62	              52	                         47	              337	                308	            323	                       294	                              2206	                                2023	                            2057	                                       1878	                                     2577	                                       2370	                                   2366	                                              2163	
plone_3_theming/elements/portlet/override.rst                                                              	             45	                  33	              40	                         33	              318	                268	            313	                       268	                              2125	                                1783	                            2039	                                       1783	                                     2368	                                       1988	                                   2279	                                              1988	
plone_3_theming/elements/portlet/override-the-portlets-in-plone-3.0.rst                                    	            142	                 102	             132	                        102	             1613	               1420	           1610	                      1420	                              9213	                                8288	                            9191	                                       8288	                                    10642	                                       9555	                                  10620	                                              9555	
plone_3_theming/elements/portletmanager/createnew.rst                                                      	             48	                  34	              37	                         29	              256	                187	            237	                       171	                              1880	                                1520	                            1715	                                       1392	                                     2061	                                       1646	                                   1886	                                              1510	
plone_3_theming/elements/portletmanager/hide.rst                                                           	             22	                  17	              22	                         17	              216	                179	            216	                       179	                              1113	                                 949	                            1113	                                        949	                                     1293	                                       1097	                                   1293	                                              1097	
plone_3_theming/elements/portletmanager/move.rst                                                           	             14	                  11	              11	                          9	               89	                 76	             82	                        69	                               566	                                 500	                             499	                                        435	                                      644	                                        568	                                    572	                                               498	
plone_3_theming/elements/portletmanager/practical/adding-portlet-managers.rst                              	             91	                  61	              65	                         55	              497	                389	            450	                       377	                              3476	                                2837	                            3098	                                       2730	                                     3853	                                       3152	                                   3470	                                              3041	
plone_3_theming/elements/structuralelements/plone.header.rst                                               	             48	                  31	              15	                         13	              229	                175	             64	                        54	                              1726	                                1357	                             555	                                        457	                                     1854	                                       1452	                                    587	                                               481	
plone_3_theming/elements/viewlet/anatomy.rst                                                               	             32	                  28	              30	                         26	              238	                202	            232	                       196	                              1360	                                1196	                            1292	                                       1128	                                     1545	                                       1349	                                   1473	                                              1277	
plone_3_theming/elements/viewlet/move/overview.rst                                                         	             70	                  61	              51	                         48	              632	                602	            576	                       549	                              3797	                                3637	                            3442	                                       3315	                                     4321	                                       4137	                                   3929	                                              3778	
plone_3_theming/elements/viewlet/override/index.html                                                       	              2	                   2	               2	                          2	               21	                 21	             21	                        21	                               119	                                 119	                             119	                                        119	                                      141	                                        141	                                    141	                                               141	
plone_3_theming/elements/viewlet/override/overview.rst                                                     	             73	                  47	              43	                         32	              456	                373	            363	                       297	                              2911	                                2427	                            2176	                                       1827	                                     3239	                                       2706	                                   2454	                                              2056	
plone_3_theming/elements/viewletmanager/anatomy.rst                                                        	             16	                  13	              10	                          8	              106	                 75	             71	                        52	                               658	                                 524	                             450	                                        372	                                      741	                                        579	                                    506	                                               411	
plone_3_theming/elements/viewletmanager/move.rst                                                           	             16	                  12	               8	                          5	              122	                103	             81	                        62	                               741	                                 633	                             466	                                        360	                                      847	                                        724	                                    533	                                               412	
plone_3_theming/elements/viewletmanager/override.rst                                                       	             32	                  20	              16	                         13	              211	                161	            125	                       100	                              1419	                                1055	                             881	                                        731	                                     1580	                                       1182	                                    978	                                               806	
